Tiempo (s),Voltaje Pico-Pico (V),Ajuste (V),Residuales (V)
6.0000000000,23.3999996200,23.5287618241,-0.1287622041
6.0199999800,22.2000007600,22.3842472297,-0.1842464697
6.0399999600,21.3999996200,21.1908878866,0.2091117334
6.0599999400,19.8000011000,19.9634072625,-0.1634061625
6.0799999200,18.6000004000,18.7166746177,-0.1166742177
6.0999999000,17.3999996000,17.4655294513,-0.0655298513
6.1199998900,16.3999996000,16.2246086756,0.1753909244
6.1399998700,15.0000000000,15.0081821735,-0.0081821735
6.1599998500,13.8000002000,13.8299892895,-0.0299890895
6.1799998300,12.8000002000,12.7030904280,0.0969097720
6.1999998100,11.6000004000,11.6397260200,-0.0397256200
6.2199997900,10.8000002000,10.6511880527,0.1488121473
6.2399997700,9.8000001910,9.7477048324,0.0522953586
6.2599997500,8.8000001910,8.9383400949,-0.1383399039
6.2799997300,8.4000005720,8.2309073919,0.1690931801
6.2999997100,7.5999999050,7.6319004911,-0.0319005861
6.3199996900,7.2000002900,7.1464403249,0.0535599651
6.3399996800,6.5999999000,6.7782386688,-0.1782387688
6.3599996600,6.4000001000,6.5295796692,-0.1295795692
6.3799996400,6.4000001000,6.4013165361,-0.0013164361
6.3999996200,6.4000001000,6.3928868250,0.0071132750
6.4200000800,6.4000001000,6.5023469582,-0.1023468582
6.4400000600,6.5999999000,6.7264051680,-0.1264052680
6.4600000400,7.0000000000,7.0604984852,-0.0604984852
6.4800000200,7.4000000950,7.4988599250,-0.0988598300
6.5000000000,7.8000001910,8.0346073657,-0.2346071747
6.5199999800,8.6000003810,8.6598426871,-0.0598423061
6.5399999600,9.4000005720,9.3657610416,0.0342395304
6.5599999400,10.0000000000,10.1427688143,-0.1427688143
6.5799999200,11.0000000000,10.9806087488,0.0193912512
6.5999999000,11.8000002000,11.8684906617,-0.0684904617
6.6199998900,12.8000002000,12.7952265996,0.0047736004
6.6399998700,13.6000004000,13.7493659869,-0.1493655869
6.6599998500,14.8000002000,14.7193361374,0.0806640626
6.6799998300,15.8000002000,15.6935772227,0.1064229773
6.6999998100,16.6000004000,16.6606770458,-0.0606766458
6.7199997900,17.8000011000,17.6095013484,0.1904997516
6.7399997700,18.6000004000,18.5293186586,0.0706817414
6.7599997500,19.2000008000,19.4099183199,-0.2099175199
6.7799997300,20.2000007600,20.2417204426,-0.0417196826
6.7999997100,21.2000007600,21.0158766375,0.1841241225
6.8199996900,21.8000011400,21.7243605150,0.0756406250
6.8399996800,22.2000007600,22.3600473716,-0.1600466116
6.8599996600,22.8000011400,22.9167804951,-0.1167793551
6.8799996400,23.3999996200,23.3894281866,0.0105714334
6.8999996200,23.8000011400,23.7739246997,0.0260764403
6.9200000800,24.0000000000,24.0673056260,-0.0673056260
6.9400000600,24.0000000000,24.2676978007,-0.2676978007
6.9600000400,24.3999996200,24.3743642817,0.0256353383
6.9800000200,24.3999996200,24.3876635853,0.0123360347
7.0000000000,24.0000000000,24.3090348166,-0.3090348166
7.0199999800,24.2000007600,24.1409624736,0.0590382864
7.0399999600,23.8000011400,23.8869296829,-0.0869285429
7.0599999400,23.6000003800,23.5513606117,0.0486397683
7.0799999200,23.0000000000,23.1395529098,-0.1395529098
7.0999999000,22.3999996200,22.6576011381,-0.2576015181
7.1199998900,22.0000000000,22.1123119420,-0.1123119420
7.1399998700,21.3999996200,21.5111137865,-0.1111141665
7.1599998500,21.0000000000,20.8619582601,0.1380417399
7.1799998300,20.0000000000,20.1732196408,-0.1732196408
7.1999998100,19.3999996000,19.4535899583,-0.0535903583
7.2199997900,18.6000004000,18.7119724025,-0.1119720025
7.2399997700,17.8000011000,17.9573740934,-0.1573729934
7.2599997500,17.2000008000,17.1987994722,0.0012013278
7.2799997300,16.3999996000,16.4451455434,-0.0451459434
7.2999997100,15.8000002000,15.7051001557,0.0949000443
7.3199996900,15.1999998000,14.9870444543,0.2129553457
7.3399996800,14.4000006000,14.2989602319,0.1010403681
7.3599996600,13.6000004000,13.6483451975,-0.0483447975
7.3799996400,13.1999998000,13.0421319297,0.1578678703
7.3999996190,12.4000006000,12.4866182350,-0.0866176350
7.4199995990,12.0000000000,11.9874042296,0.0125957704
7.4400000570,11.6000004000,11.5493295297,0.0506708703
7.4600000380,11.1999998000,11.1764699179,0.0235298821
7.4800000190,10.8000002000,10.8720408352,-0.0720406352
7.5000000000,10.6000004000,10.6384173648,-0.0384169648
7.5199999810,10.4000006000,10.4771099307,-0.0771093307
7.5399999620,10.4000006000,10.3887614787,0.0112391213
7.5599999430,10.1999998000,10.3731548017,-0.1731550017
7.5799999240,10.4000006000,10.4292297522,-0.0292291522
7.5999999050,10.4000006000,10.5551099711,-0.1551093711
7.6199998860,10.8000002000,10.7481386606,0.0518615394
7.6399998660,10.8000002000,11.0049228163,-0.2049226163
7.6599998470,11.4000006000,11.3213853398,0.0786152602
7.6799998280,11.6000004000,11.6928240956,-0.0928236956
7.6999998090,12.1999998000,12.1139773566,0.0860224434
7.7199997900,12.6000004000,12.5790945884,0.0209058116
7.7399997710,13.0000000000,13.0820117244,-0.0820117244
7.7599997520,13.6000004000,13.6162299698,-0.0162295698
7.7799997330,14.1999998000,14.1749971558,0.0250026442
7.7999997140,14.6000004000,14.7513906543,-0.1513902543
7.8199996950,15.4000006000,15.3384008609,0.0615997391
7.8399996760,16.0000000000,15.9290142653,0.0709857347
7.8599996570,16.6000004000,16.5162951487,0.0837052513
7.8799996380,17.2000008000,17.0934649816,0.1065358184
7.8999996190,17.6000004000,17.6539786361,-0.0539782361
7.9199995990,18.2000008000,18.1915965546,0.0084042454
7.9400000570,18.6000004000,18.7004640114,-0.1004636114
7.9600000380,19.2000008000,19.1751249906,0.0248758094
7.9800000190,19.3999996000,19.6106511032,-0.2106515032
8.0000000000,20.0000000000,20.0026413003,-0.0026413003
8.0199995040,20.3999996200,20.3472687550,0.0527308650
8.0399999620,20.8000011400,20.6413535226,0.1586476174
8.0599994660,20.8000011400,20.8823079178,-0.0823067778
8.0799999240,21.2000007600,21.0682570948,0.1317436652
8.0999994280,21.2000007600,21.1979583077,0.0020424523
8.1199998860,21.0000000000,21.2708743678,-0.2708743678
8.1399993900,21.2000007600,21.2871191363,-0.0871183763
8.1599998470,21.2000007600,21.2474725271,-0.0474717671
8.1799993520,21.2000007600,21.1533538353,0.0466469247
8.1999998090,21.2000007600,21.0067796100,0.1932211500
8.2200002670,21.0000000000,20.8103545599,0.1896454401
8.2399997710,20.6000003800,20.5672287031,0.0327716769
8.2600002290,20.3999996200,20.2810062144,0.1189934056
8.2799997330,20.0000000000,19.9557810616,0.0442189384
8.3000001910,19.3999996000,19.5959738507,-0.1959742507
8.3199996950,19.2000008000,19.2063965679,-0.0063957679
8.3400001530,18.6000004000,18.7920551612,-0.1920547612
8.3599996570,18.3999996000,18.3582338651,0.0417657349
8.3800001140,18.0000000000,17.9102737864,0.0897262136
8.3999996190,17.6000004000,17.4536721545,0.1463282455
8.4200000760,17.0000000000,16.9938481203,0.0061518797
8.4399995800,16.6000004000,16.5362517579,0.0637486421
8.4600000380,16.0000000000,16.0861280821,-0.0861280821
8.4799995420,15.6000004000,15.6486308425,-0.0486304425
8.5000000000,15.1999998000,15.2285954624,-0.0285956624
8.5199995040,14.8000002000,14.8306521377,-0.0306519377
8.5399999620,14.6000004000,14.4590180439,0.1409823561
8.5599994660,14.0000000000,14.1176044482,-0.1176044482
8.5799999240,13.8000002000,13.8098371175,-0.0098369175
8.5999994280,13.6000004000,13.5387527165,0.0612476835
8.6199998860,13.4000006000,13.3068547275,0.0931458725
8.6399993900,13.0000000000,13.1161950609,-0.1161950609
8.6599998470,13.0000000000,12.9682709222,0.0317290778
8.6799993520,13.0000000000,12.8640883474,0.1359116526
8.6999998090,12.6000004000,12.8041034308,-0.2041030308
8.7200002670,12.8000002000,12.7882657509,0.0117344491
8.7399997710,12.8000002000,12.8160036418,-0.0160034418
8.7600002290,13.0000000000,12.8862529686,0.1137470314
8.7799997330,13.0000000000,12.9974637743,0.0025362257
8.8000001910,13.0000000000,13.1476528425,-0.1476528425
8.8199996950,13.4000006000,13.3343925957,0.0656080043
8.8400001530,13.4000006000,13.5549031223,-0.1549025223
8.8599996570,13.8000002000,13.8060206587,-0.0060204587
8.8800001140,14.0000000000,14.0843234939,-0.0843234939
8.8999996190,14.1999998000,14.3860822500,-0.1860824500
8.9200000760,14.8000002000,14.7074125895,0.0925876105
8.9399995800,15.0000000000,15.0442102689,-0.0442102689
8.9600000380,15.6000004000,15.3923228414,0.2076775586
8.9799995420,16.0000000000,15.7474727318,0.2525272682
9.0000000000,16.0000000000,16.1054395417,-0.1054395417
9.0199995040,16.3999996000,16.4619751460,-0.0619755460
9.0399999620,16.8000011000,16.8129877178,-0.0129866178
9.0599994660,17.0000000000,17.1544530986,-0.1544530986
9.0799999240,17.3999996000,17.4825920012,-0.0825924012
9.0999994280,17.8000011000,17.7937818585,0.0062192415
9.1199998860,18.2000008000,18.0847192788,0.1152815212
9.1399993900,18.3999996000,18.3523364156,0.0476631844
9.1599998470,18.8000011000,18.5939416858,0.2060594142
9.1799993520,18.8000011000,18.8071444124,-0.0071433124
9.1999998090,18.8000011000,18.9899679662,-0.1899668662
9.2200002670,19.0000000000,19.1407923187,-0.1407923187
9.2399997710,19.2000008000,19.2584033938,-0.0584025938
9.2600002290,19.3999996000,19.3420103510,0.0579892490
9.2799997330,19.2000008000,19.3912127161,-0.1912119161
9.3000001910,19.2000008000,19.4060297752,-0.2060289752
9.3199996950,19.6000004000,19.3868746759,0.2131257241
9.3400001530,19.2000008000,19.3345485194,-0.1345477194
9.3599996570,19.2000008000,19.2502315186,-0.0502307186
9.3800001140,19.0000000000,19.1354432619,-0.1354432619
9.3999996190,18.8000011000,18.9920507240,-0.1920496240
9.4200000760,18.8000011000,18.8221977380,-0.0221966380
9.4399995800,18.8000011000,18.6283288822,0.1716722178
9.4600000380,18.3999996000,18.4130923953,-0.0130927953
9.4799995420,18.2000008000,18.1793784248,0.0206223752
9.5000000000,17.8000011000,17.9302006719,-0.1301995719
9.5199995040,17.6000004000,17.6687467324,-0.0687463324
9.5399999620,17.3999996000,17.3982447051,0.0017548949
9.5599994660,17.0000000000,17.1220228610,-0.1220228610
9.5799999240,16.8000011000,16.8433678700,-0.0433667700
9.5999994280,16.3999996000,16.5655907376,-0.1655911376
9.6199998860,16.2000008000,16.2918834582,-0.0918826582
9.6399993900,16.0000000000,16.0253879717,-0.0253879717
9.6599998470,15.8000002000,15.7690579075,0.0309422925
